Customer_ID,Customer_Name,Join_Date,Email,Age,Membership_Tier
1,Customer_1,2020-11-30 08:51:02,customer_1@example.com,23,Platinum
2,Customer_2,2021-09-04 08:36:17,customer_2@example.com,52,Platinum
3,Customer_3,2020-10-23 13:52:45,customer_3@example.com,49,Gold
4,Customer_4,2021-03-22 23:53:36,customer_4@example.com,20,Platinum
5,Customer_5,2018-04-02 20:02:28,customer_5@example.com,54,Silver
6,Customer_6,2018-03-04 06:20:54,customer_6@example.com,32,Platinum
7,Customer_7,2018-04-21 21:12:25,customer_7@example.com,45,Silver
8,Customer_8,2020-10-17 03:29:38,customer_8@example.com,45,Gold
9,Customer_9,2018-02-22 13:38:29,customer_9@example.com,18,Platinum
10,Customer_10,2020-08-04 12:18:09,customer_10@example.com,39,Silver
11,Customer_11,2020-05-24 04:23:25,customer_11@example.com,60,Platinum
12,Customer_12,2020-05-14 16:00:45,customer_12@example.com,55,Bronze
13,Customer_13,2020-12-22 14:25:49,customer_13@example.com,35,Bronze
14,Customer_14,2021-04-18 20:03:52,customer_14@example.com,26,Platinum
15,Customer_15,2019-05-08 17:01:39,customer_15@example.com,26,Platinum
16,Customer_16,2021-11-20 13:16:00,customer_16@example.com,63,Platinum
17,Customer_17,2021-11-20 02:06:57,customer_17@example.com,31,Silver
18,Customer_18,2022-05-06 22:37:31,customer_18@example.com,38,Silver
19,Customer_19,2021-07-29 15:55:24,customer_19@example.com,66,Silver
20,Customer_20,2021-02-07 10:43:40,customer_20@example.com,39,Bronze
21,Customer_21,2020-01-13 05:07:17,customer_21@example.com,41,Platinum
22,Customer_22,2022-05-23 09:18:09,customer_22@example.com,19,Gold
23,Customer_23,2018-01-14 14:47:23,customer_23@example.com,56,Silver
24,Customer_24,2019-04-07 23:35:55,customer_24@example.com,64,Platinum
25,Customer_25,2019-11-01 16:29:02,customer_25@example.com,29,Silver
26,Customer_26,2021-11-23 01:45:05,customer_26@example.com,42,Platinum
27,Customer_27,2018-04-17 02:47:38,customer_27@example.com,47,Bronze
28,Customer_28,2019-03-22 08:17:08,customer_28@example.com,49,Platinum
29,Customer_29,2018-02-24 01:48:30,customer_29@example.com,39,Gold
30,Customer_30,2018-06-11 09:56:08,customer_30@example.com,46,Bronze
31,Customer_31,2022-05-24 21:29:27,customer_31@example.com,30,Silver
32,Customer_32,2021-08-03 19:06:46,customer_32@example.com,46,Bronze
33,Customer_33,2021-05-13 13:21:42,customer_33@example.com,58,Gold
34,Customer_34,2021-08-09 09:36:08,customer_34@example.com,19,Bronze
35,Customer_35,2018-12-25 01:22:28,customer_35@example.com,49,Bronze
36,Customer_36,2018-06-03 13:01:56,customer_36@example.com,28,Platinum
37,Customer_37,2019-07-25 03:17:55,customer_37@example.com,46,Gold
38,Customer_38,2018-07-29 16:53:25,customer_38@example.com,66,Platinum
39,Customer_39,2018-12-17 21:44:51,customer_39@example.com,60,Silver
